breed,year,n
AFFENPINSCHER,1997,128
AFGHAN HOUND,1997,356
AIREDALE TERRIER,1997,1029
AKITA,1997,1319
ALASKAN MALAMUTE,1997,87
ANATOLIAN SHEPHERD DOG,1997,68
AUSTRALIAN  CATTLE DOG,1997,31
AUSTRALIAN SHEPHERD,1997,32
AUSTRALIAN SILKY TERRIER,1997,26
AUSTRALIAN TERRIER,1997,36
AZAWAKH,1997,0
BASENJI,1997,87
BASSET BLEU DE GASCOGNE,1997,3
BASSET FAUVE DE BRETAGNE,1997,42
BASSET GRIFFON VENDEEN Petit,1997,109
BASSET HOUND,1997,1321
basset GRIFFON VENDEEN Grand,1997,57
BAVARIAN MOUNTAIN HOUND,1997,14
BEAGLE,1997,1007
BEARDED COLLIE,1997,1286
BEAUCERON,1997,17
BEDLINGTON TERRIER,1997,365
BELGIAN SHEPHERD DOG,1997,445
BERGAMASCO,1997,0
BERNESE MOUNTAIN DOG,1997,895
BICHON FRISE,1997,2612
BLOODHOUND,1997,59
BOLOGNESE,1997,28
BORDER COLLIE,1997,2405
BORDER terrier,1997,3338
BORZOI,1997,188
BOSTON TERRIER,1997,133
BOUVIER DES FLANDRE,1997,187
BOXER,1997,10993
BOXER Crossbreed,1997,0
BRACCO ITALIANO,1997,0
BRIARD,1997,177
BRITTANY ,1997,111
BULL TERRIER,1997,2609
BULL TERRIER Miniature,1997,103
BULLDOG,1997,1951
BULLMASTIFF,1997,2357
CAIRN TERRIER,1997,2329
CANAAN DOG,1997,1
CANADIAN ESKIMO DOG,1997,0
CATALAN SHEEPDOG,1997,0
CAVALIER KING CHARLES SPANIEL,1997,13022
CESKY TERRIER,1997,28
CHIHUAHUA Long Coat,1997,1192
CHIHUAHUA Smooth Coat,1997,598
CHINESE CRESTED ,1997,325
CHOW CHOW,1997,666
CIRNECO DELLETNA,1997,0
COLLIE Rough,1997,2459
COLLIE Smooth,1997,84
COTON DE TULEAR,1997,0
DACHSHUND LongHaired,1997,226
DACHSHUND Miniature LongHaired,1997,1605
DACHSHUND Miniature SmoothHaired,1997,1056
DACHSHUND Miniature WireHaired,1997,700
DACHSHUND SmoothHaired,1997,224
DACHSHUND WireHaired,1997,260
DALMATIAN,1997,3786
DANDIE DINMONT TERRIER,1997,141
DEERHOUND,1997,269
DOBERMANN,1997,2921
DOGUE DE BORDEAUX,1997,0
ENGLISH SETTER,1997,673
ENGLISH TOY TERRIER Black and Tan ,1997,65
ENTLEBUCHER MOUNTAIN DOG,1997,0
ESTRELA MOUNTAIN DOG,1997,14
EURASIER,1997,0
FINNISH LAPPHUND,1997,12
FINNISH SPITZ ,1997,14
FOX TERRIER Smooth,1997,217
FOX TERRIER Wire,1997,683
FOXHOUND,1997,0
FRENCH BULLDOG,1997,185
GERMAN LONGHAIRED POINTER,1997,0
GERMAN PINSCHER,1997,43
GERMAN SHEPHERD DOG ,1997,24508
